,0,1
0,0,11
1,1,9
2,2,7
3,3,5
4,4,12
5,5,7
6,6,5
7,7,10
8,8,12
9,9,12
10,10,9
11,11,10
12,12,7
13,13,9
14,14,9
15,15,9
16,16,9
17,17,6
18,18,10
19,19,7
20,20,12
21,21,8
22,22,11
23,23,9
24,24,8
25,25,9
26,26,12
27,27,12
28,28,11
29,29,11
30,30,10
31,31,8
32,32,7
33,33,7
34,34,5
35,35,7
36,36,7
37,37,12
38,38,10
39,39,5
40,40,8
41,41,11
42,42,7
43,43,5
44,44,7
45,45,12
46,46,5
47,47,9
48,48,12
49,49,8
50,50,9
51,51,5
52,52,5
53,53,10
54,54,8
55,55,11
56,56,10
57,57,12
58,58,9
59,59,12
60,60,7
61,61,11
62,62,7
63,63,12
64,64,10
65,65,9
66,66,9
67,67,7
68,68,9
69,69,12
70,70,5
71,71,12
72,72,8
73,73,10
74,74,9
75,75,7
76,76,11
77,77,9
78,78,8
79,79,8
80,80,8
81,81,6
82,82,10
83,83,5
84,84,5
85,85,12
86,86,11
87,87,9
88,88,7
89,89,6
90,90,11
91,91,10
92,92,6
93,93,7
94,94,7
95,95,10
96,96,7
97,97,10
98,98,8
99,99,8
100,100,8
101,101,10
102,102,7
103,103,7
104,104,11
105,105,10
106,106,11
107,107,7
108,108,7
109,109,11
110,110,5
111,111,9
112,112,11
113,113,10
114,114,12
115,115,10
116,116,5
117,117,11
118,118,11
119,119,12
120,120,5
121,121,9
122,122,7
123,123,11
124,124,10
125,125,9
126,126,12
127,127,12
128,128,10
129,129,9
130,130,12
131,131,11
132,132,10
133,133,12
134,134,8
135,135,11
136,136,8
137,137,11
138,138,10
139,139,7
140,140,9
141,141,5
142,142,8
143,143,11
144,144,11
145,145,8
146,146,8
147,147,8
148,148,12
149,149,12
150,150,7
151,151,9
152,152,12
153,153,8
154,154,12
155,155,10
156,156,8
157,157,8
158,158,5
159,159,5
160,160,5
161,161,8
162,162,5
163,163,11
164,164,7
165,165,12
166,166,12
167,167,7
168,168,7
169,169,10
170,170,12
171,171,9
172,172,5
173,173,10
174,174,10
175,175,7
176,176,10
177,177,9
178,178,9
179,179,8
180,180,8
181,181,9
182,182,12
183,183,5
184,184,9
185,185,8
186,186,8
187,187,9
188,188,10
189,189,11
190,190,12
191,191,8
192,192,10
193,193,5
194,194,12
195,195,8
196,196,12
197,197,7
198,198,11
199,199,8
200,200,11
201,201,5
202,202,5
203,203,8
204,204,8
205,205,9
206,206,7
207,207,12
208,208,11
209,209,8
210,210,11
211,211,9
212,212,7
213,213,10
214,214,5
215,215,8
216,216,5
217,217,11
218,218,7
219,219,10
220,220,7
221,221,5
222,222,9
223,223,11
224,224,7
225,225,7
226,226,11
227,227,11
228,228,6
229,229,10
230,230,9
231,231,9
232,232,9
233,233,8
234,234,8
235,235,7
236,236,12
237,237,12
238,238,5
239,239,12
240,240,10
241,241,5
242,242,8
243,243,10
244,244,10
245,245,7
246,246,5
247,247,11
248,248,8
249,249,9
250,250,11
251,251,9
252,252,5
253,253,5
254,254,7
255,255,10
256,256,5
257,257,10
258,258,8
259,259,7
260,260,5
261,261,7
262,262,12
263,263,8
264,264,12
265,265,11
266,266,5
267,267,8
268,268,10
269,269,10
270,270,12
271,271,11
272,272,7
273,273,10
274,274,5
275,275,9
276,276,10
277,277,7
278,278,7
279,279,5
280,280,10
281,281,11
282,282,9
