,Course Name,Double Period,HS Category,MS Category,Max,Min,Number of Instances,Required Grades,Room Type
0,6th Grade Art,,,C,22.0,10.0,,,Art
1,7th-8th Grade Art,,,C,22.0,10.0,,,Art
2,8th Grade Science,,,I,22.0,10.0,,8.0,Science
3,Adaptive PE,,VII,E,22.0,10.0,,,Gym
4,Advanced Algebra and Trigonometry,,IIC,,22.0,10.0,2.0,,
5,Advanced Algebra and Trigonometry V2,,IIC,,22.0,10.0,2.0,,
6,Advanced French,,IIB,,22.0,10.0,,,
7,Advanced Spanish,,IIB,,22.0,10.0,,,
8,African Studies,1.0,IIA & V,,22.0,10.0,,9.0,
9,African Studies II,0.0,IIA & V,,22.0,10.0,,9.0,
10,Algebra A,,,K,22.0,10.0,2.0,,
11,Algebra A V2,,,K,22.0,10.0,2.0,,
12,Algebra B,,,K,22.0,10.0,2.0,,
13,Algebra B V2,,,K,22.0,10.0,2.0,,
14,American Studies/Global Perspective,1.0,IIA & V,,22.0,10.0,,,
15,American Studies/Global Perspective II,0.0,IIA & V,,22.0,10.0,,,
16,Animal Bio,,VI,,22.0,10.0,,,Science
17,Asia Studies,,V,,22.0,10.0,,,
18,Chemistry,,VI,,22.0,10.0,,,Science
19,Civil Rights Literature,,IIA,,22.0,10.0,,,
20,Community Service Class,,IB & V,,22.0,10.0,,,
21,Computer Literacy,,,G,22.0,10.0,,,
22,Computer Science,,IIC,,22.0,10.0,,,
23,Discovering Algebra,,IIC,K,22.0,10.0,3.0,,
24,Discovering Algebra V2,,IIC,K,22.0,10.0,3.0,,
25,Discovering Algebra V3,,IIC,K,22.0,10.0,3.0,,
26,Discovering Geometry,,IIC,,22.0,10.0,2.0,,
27,Discovering Geometry V2,,IIC,,22.0,10.0,2.0,,
28,Drawing and Painting,,IV,,22.0,10.0,,,Art
29,Economics,,V,,22.0,10.0,,,
30,English Seminar,,IIA,,22.0,10.0,,,
31,Evolutionary Biology,,VI,,22.0,10.0,,,Science
32,Experimenting in Sci,,,I,22.0,10.0,,,Science
33,Facing History,1.0,IIA & V,,22.0,10.0,,,
34,Facing History II,0.0,IIA & V,,22.0,10.0,,,
35,Fantasy and Folklore,,,G,22.0,10.0,,,
36,Fiber Tech,,,C,22.0,10.0,,,Art
37,French A,,,F,22.0,10.0,,,
38,French B,,,F,22.0,10.0,,,
39,Geology,,VI,,22.0,10.0,,,Science
40,Global Research,,V,,22.0,10.0,,,
41,Governance and Dissent,,,H,22.0,10.0,,,
42,HS Health,,VII,,22.0,10.0,,,
43,HS PE,,VII,,22.0,10.0,3.0,,Gym
44,HS PE V2,,VII,,22.0,10.0,3.0,,Gym
45,HS PE V3,,VII,,22.0,10.0,3.0,,Gym
46,I Know Some Things,,IIA,,22.0,10.0,,,
47,In-Depth French,,IIB,,22.0,10.0,,,
48,In-Depth Spanish,,IIB,,22.0,10.0,,,
49,Inquiry and Tools,1.0,,I & K,22.0,10.0,2.0,6.0,
50,Inquiry and Tools II,0.0,,I & K,22.0,10.0,2.0,6.0,
51,Inquiry and Tools V2,1.0,,I & K,22.0,10.0,2.0,6.0,
52,Inquiry and Tools V2 II,0.0,,I & K,22.0,10.0,2.0,6.0,
53,Intermediate French,,IIB,F,22.0,10.0,,,
54,Intermediate Spanish,,IIB,F,22.0,10.0,2.0,,
55,Intermediate Spanish V2,,IIB,F,22.0,10.0,2.0,,
56,Intro to Physics and Chemistry,,VI,,22.0,10.0,,,Science
57,Latin American Literature,,IIA,,22.0,10.0,,,
58,MS English and Social Studies TBA,1.0,,G & H,22.0,10.0,,,
59,MS English and Social Studies TBA II,0.0,,G & H,22.0,10.0,,,
60,MS Health,,,J,22.0,10.0,,,
61,MS PE,,,E,22.0,10.0,,,Gym
62,MS Science (Debbie Cowell),,,I,22.0,10.0,,,Science
63,MS Science (Natty Simpson),,,I,22.0,10.0,,,Science
64,MS/HS PE,,VII,E,22.0,10.0,3.0,,Gym
65,MS/HS PE V2,,VII,E,22.0,10.0,3.0,,Gym
66,MS/HS PE V3,,VII,E,22.0,10.0,3.0,,Gym
67,Music Design,,IV,D,22.0,10.0,,,Music
68,"Music, Myth, and Ritual",,,D,22.0,10.0,,,Music
69,Musicals and History,,,H,22.0,10.0,,,
70,Mythology,,,G,22.0,10.0,,,
71,Neuro Science Psych,,VI,,22.0,10.0,,,Science
72,Non-Western Writers,,IIA,,22.0,10.0,,,
73,People and Literature,1.0,,G & H,22.0,10.0,2.0,6.0,
74,People and Literature II,0.0,,G & H,22.0,10.0,2.0,6.0,
75,People and Literature V2,1.0,,G & H,22.0,10.0,2.0,6.0,
76,People and Literature V2 II,0.0,,G & H,22.0,10.0,2.0,6.0,
77,Physics,,VI,,22.0,10.0,,,Science
78,Portfolio Art,,IV,,22.0,10.0,,,Art
79,Portfolio Photo,,IV,,22.0,10.0,,,Art
80,Pre-Calculus,,IIC,,22.0,10.0,,,
81,Probability and Statistics,,IIC,,22.0,10.0,,,
82,Researchers,,,M,22.0,10.0,,,
83,Roots Music,,,D,22.0,10.0,,,Music
84,Spanish A,,,F,22.0,10.0,2.0,,
85,Spanish A V2,,,F,22.0,10.0,2.0,,
86,Spanish B,,,F,22.0,10.0,2.0,,
87,Spanish B V2,,,F,22.0,10.0,2.0,,
88,Street Band,,IV,D,22.0,10.0,,,Music
89,Studio Art,,IV,,22.0,10.0,,,Art
90,The Renaissance,,V,,22.0,10.0,,,
91,US History and Lit: The 20th Century,,IIA,,22.0,10.0,,,
92,Utopia/Dystopia,,IIA,,22.0,10.0,,,
93,Video Production,,IV,,22.0,10.0,,,
94,RR1,,,,,,,,Resource
95,RR2,,,,,,,,Resource
96,RR3,,,,,,,,Resource
