0,Science,Art,Gym,Music,Free
6th Grade Art,0,1,0,0,0
7th-8th Grade Art,0,1,0,0,0
8th Grade Science,1,0,0,0,0
Adaptive PE,0,0,1,0,0
Advanced Algebra and Trigonometry,0,0,0,0,1
Advanced Algebra and Trigonometry 2,0,0,0,0,1
Advanced Spanish,0,0,0,0,1
Advanced/In-Depth French,0,0,0,0,1
African Studies,0,0,0,0,1
African Studies 2,0,0,0,0,1
Algebra A,0,0,0,0,1
Algebra A 2,0,0,0,0,1
Algebra B,0,0,0,0,1
Algebra B 2,0,0,0,0,1
American Studies/Global Perspective,0,0,0,0,1
American Studies/Global Perspective 2,0,0,0,0,1
Animal Bio,0,0,0,0,1
Asia Studies,0,0,0,0,1
Banned Books,0,0,0,0,1
Beginning Algebra and Geometry,0,0,0,0,1
Beginning Algebra and Geometry 2,0,0,0,0,1
Celtic Band,0,0,0,1,0
Chemistry,1,0,0,0,0
Childhood in Conflict,0,0,0,0,1
Childhood in Conflict 2,0,0,0,0,1
Choir,0,0,0,1,0
Community Service Class,0,0,0,0,1
Computer Literacy,0,0,0,0,1
Constitutional Law/Government,0,0,0,0,1
Dark Fiction,0,0,0,0,1
Drawing and Painting,0,1,0,0,0
Ecology,0,0,0,0,1
Economics,0,0,0,0,1
Empty,0,0,0,0,1
English Seminar,0,0,0,0,1
Evolutionary Biology,0,0,0,0,1
Facing History,0,0,0,0,1
Facing History 2,0,0,0,0,1
Fiber Tech,0,0,0,0,1
French A,0,0,0,0,1
French B,0,0,0,0,1
Geography and Borders,0,0,0,0,1
Geology,1,0,0,0,0
Global History of Commodities,0,0,0,0,1
HS Health,0,0,0,0,1
HS PE,0,0,1,0,0
HS PE 2,0,0,1,0,0
HS PE 3,0,0,1,0,0
I Know Some Things,0,0,0,0,1
Immigration and Migration,0,0,0,0,1
In-Depth Spanish,0,0,0,0,1
Inquiry and Tools,0,0,0,0,1
Inquiry and Tools 2,0,0,0,0,1
Inquiry and Tools Alternate,0,0,0,0,1
Inquiry and Tools Alternate 2,0,0,0,0,1
Intermediate Algebra and Geometry,0,0,0,0,1
Intermediate Algebra and Geometry 2,0,0,0,0,1
Intermediate French,0,0,0,0,1
Intermediate Spanish,0,0,0,0,1
Intro to Engineering,1,0,0,0,0
Intro to Physics and Chemistry,1,0,0,0,0
Latin American Studies,0,0,0,0,1
Latin American Studies 2,0,0,0,0,1
Literature of Civil Rights Movement,0,0,0,0,1
MS Chemistry,1,0,0,0,0
MS Health,0,0,0,0,1
MS PE,0,0,1,0,0
MS/HS PE,0,0,1,0,0
MS/HS PE 2,0,0,1,0,0
MS/HS PE 3,0,0,1,0,0
Music Design,0,0,0,1,0
"Music, Myth, and Ritual",0,0,0,1,0
Other,0,0,0,0,1
Other 2,0,0,0,0,1
Other 3,0,0,0,0,1
Other 4,0,0,0,0,1
Other 5,0,0,0,0,1
Other 6,0,0,0,0,1
People and Literature,0,0,0,0,1
People and Literature 2,0,0,0,0,1
People and Literature Alternate,0,0,0,0,1
People and Literature Alternate 2,0,0,0,0,1
Physics,1,0,0,0,0
Poet's Society,0,0,0,0,1
Portfolio Art,0,1,0,0,0
Portfolio Photo,0,1,0,0,0
Pre-Calculus,0,0,0,0,1
Probability and Statistics,0,0,0,0,1
Researchers,0,0,0,0,1
Resource Room,0,0,0,0,1
Spanish A,0,0,0,0,1
Spanish A 2,0,0,0,0,1
Spanish B,0,0,0,0,1
Spanish B 2,0,0,0,0,1
Story of Life,0,0,0,0,1
Studio Art,0,1,0,0,0
US History and Lit: The 20th Century,0,0,0,0,1
US History and Lit: The 20th Century 2,0,0,0,0,1
Video Production,0,0,0,0,1
