,0,Size
0,P1_HS English,22
1,P1_HS PE,22
2,P1_Middle School Social Studies with Dan,22
3,P1_French B,22
4,P1_Evolutionary Biology,22
5,P1_Other,100
6,P1_Pre-Calculus,22
7,P1_MS Health,22
8,P1_Spanish A,22
9,P1_Constitutional Law/Government,22
10,P1_Empty,22
11,P1_Advanced Algebra & Trigonometry,22
12,P1_Portfolio Photo,16
13,P1_7th-8th Grade Art,16
14,P1_6thGradeOther,100
15,P1_Facing History,22
16,P1_HS English (TBA),22
17,P1_Algebra A,22
18,P2_Asia Studies,22
19,P2_Asian Studies,22
20,P2_HS PE,50
21,P2_Intermediate French,22
22,P2_Spanish B,22
23,P2_Other,100
24,P2_Geology,22
25,P2_Intermediate Algebra & Geometry,22
26,P2_Intermediate Spanish,22
27,P2_Empty,22
28,P2_Drawing & Painting,22
29,P2_8th Grade Science,22
30,P2_MS Social Studies with Dan,22
31,P2_6thGradeOther,100
32,P2_Facing History,22
33,P2_HS English (TBA),22
34,P2_Algebra A,22
35,P3_Banned Books,22
36,P3_Chemistry,22
37,P3_I Know Some Things,22
38,P3_Algebra B,22
39,P3_Studio Art,22
40,P3_HS Health,22
41,P3_Beginning Algebra and Geometry,22
42,P3_Other,100
43,P3_Intermediate Spanish,22
44,P3_MS/HS PE,50
45,P3_Empty,22
46,P3_American Studies/Global Perspective,22
47,P3_Music Design,12
48,P3_Advanced Spanish,22
49,P3_Story of Life,22
50,P3_6thGradeOther,100
51,P4_Researchers (8th Grade SS),22
52,P4_MS Science (TBA),22
53,P4_Other,100
54,P4_Intro to Physics & Chemistry,22
55,P4_Health,22
56,P4_Beginning Algebra and Trigonometry,22
57,P4_Community Service Class,22
58,P4_Empty,22
59,P4_6thGradeOther,100
60,P4_American Studies/Global Perspective,22
61,P4_Advanced/In-Depth French,22
62,"P4_Music, Myth, and Ritual",22
63,P4_Economics,22
64,P4_Portfolio Art,22
65,P4_MS/HS PE,50
66,P4_Algebra A,22
67,P4_Intermediate Algebra and Geometry,22
68,P7_Choir,22
69,P7_US History & Lit: The 20th Century,22
70,P7_Empty,22
71,P7_Video Production,22
72,P7_Other,100
73,P7_MS English & Social Studies (TBA),22
74,P7_Celtic Band,22
75,P7_Latin American Studies,22
76,P7_SPA,22
77,P7_African Studies,22
78,P7_Spanish A,22
79,P7_Poet's Society,22
80,P7_Adaptive PE,50
81,P7_Resource Room,22
82,P7_Anatomy & Physiology,22
83,P7_6th Grade ARt,22
84,P7_Spanish B,22
85,P7_6th Grade Art,22
86,P7_Molecular Biology,50
87,P7_English Seminar,22
88,P7_Poets Society,22
89,P7_6th grade art,22
90,P7_MS/HS PE,50
91,P7_Advanced Algebra & Trigonometry,22
92,P8_Choir,50
93,P8_US History & Lit: The 20th Century,22
94,P8_Empty,22
95,P8_French A,22
96,P8_PE,22
97,P8_Probability & Statistics,22
98,P8_Algebra B,22
99,P8_Computer Literacy,22
100,P8_Other,100
101,P8_APE,22
102,P8_Latin American Studies,22
103,P8_fiber Tech,12
104,P8_HS PE,50
105,P8_MS English & Social Studies,22
106,P8_Chorus,22
107,P8_African Studies,22
108,P8_MS Chemistry,22
109,P8_Spanish A,22
110,P8_Ecology,22
111,P8_Fiber Tech,22
112,P8_Dark Fiction,22
113,P8_Resource Room,22
114,P8_RR,50
115,P8_MS PE,22
116,P8_In-Depth Spanish,22
