,0,Max,Min,MS Category,HS Category,Double
0,6th Grade Art,22,10,C,,
1,6thGradeOther,22,10,,,
2,7th-8th Grade Art,22,10,C,,
3,8th Grade Science,22,10,I,,
4,Adaptive PE,22,10,E,VII,
5,Advanced Algebra and Trigonometry,22,10,,IIC,
6,Advanced Algebra and Trigonometry 2,22,10,,IIC,
7,Advanced Spanish,22,10,,IIB,
8,Advanced/In-Depth French,22,10,,IIB,
9,African Studies,22,10,,IIA & V,1
10,African Studies 2,22,10,,IIA & V,
11,Algebra A,22,10,K,,
12,Algebra A 2,22,10,K,,
13,Algebra B,22,10,K,,
14,Algebra B 2,22,10,K,,
15,American Studies/Global Perspective,22,10,,IIA & V,1
16,American Studies/Global Perspective 2,22,10,,IIA & V,
17,Anatomy and Physiology,22,10,,VI,
18,Asia Studies,22,10,,V,
19,Banned Books,22,10,G,,
20,Beginning Algebra and Geometry,22,10,,IIC,
21,Beginning Algebra and Geometry 2,22,10,,IIC,
22,Beginning Algebra and Trigonometry,22,10,,IIC,
23,Celtic Band,22,10,D,IV,
24,Chemistry,22,10,,VI,
25,Choir,22,10,D,IV,
26,Community Service Class,22,10,,IB & V,
27,Computer Literacy,22,10,L,,
28,Constitutional Law/Government,22,10,,V,
29,Dark Fiction,22,10,,IIA,
30,Drawing and Painting,22,10,,IV,
31,Ecology,22,10,,VI,
32,Economics,22,10,,V,
33,Empty,22,10,,,
34,English Seminar,22,10,,IIA,
35,Evolutionary Biology,22,10,,VI,
36,Facing History,22,10,,IIA & V,1
37,Facing History 2,22,10,,IIA & V,
38,Fiber Tech,22,10,I,,
39,French A,22,10,F,,
40,French B,22,10,F,,
41,Geology,22,10,,VI,
42,HS English,22,10,,IIA,
43,HS English 2,22,10,,IIA,
44,HS Health,22,10,,VII,
45,HS PE,22,10,,VII,
46,HS PE 2,22,10,,VII,
47,HS PE 3,22,10,,VII,
48,Health,22,10,,,
49,I Know Some Things,22,10,,IIA,
50,In-Depth Spanish,22,10,,IIB,
51,Intermediate Algebra and Geometry,22,10,,IIC,
52,Intermediate Algebra and Geometry 2,22,10,,IIC,
53,Intermediate French,22,10,F,IIB,
54,Intermediate Spanish,22,10,F,IIB,
55,Intro to Physics and Chemistry,22,10,I,VI,
56,Latin American Studies,22,10,,IIA & V,1
57,Latin American Studies 2,22,10,,IIA & V,
58,MS Chemistry,22,10,I,,
59,MS English and Social Studies,22,10,G & H,,1
60,MS English and Social Studies 2,22,10,G & H,,
61,MS Health,22,10,J,,
62,MS PE,22,10,E,,
63,MS Science,22,10,I,,
64,MS Social Studies,22,10,H,,
65,MS Social Studies 2,22,10,H,,
66,MS/HS PE,22,10,E,VII,
67,MS/HS PE 2,22,10,E,VII,
68,MS/HS PE 3,22,10,E,VII,
69,Molecular Biology,22,10,,VI,
70,Music Design,22,10,D,IV,
71,"Music, Myth, and Ritual",22,10,D,,
72,Other,22,10,Z,Z,
73,Other 2,22,10,Z,Z,
74,Other 3,22,10,Z,Z,
75,Other 4,22,10,Z,Z,
76,Other 5,22,10,Z,Z,
77,Other 6,22,10,Z,Z,
78,PE,22,10,Z,Z,
79,Poet's Society,22,10,G,IV,
80,Portfolio Art,22,10,,IV,
81,Portfolio Photo,22,10,,IIC,
82,Pre-Calculus,22,10,,IIC,
83,Probability and Statistics,22,10,,,
84,Researchers (8th Grade SS),22,10,M,,
85,Resource Room,22,10,Other,Other,
86,Spanish A,22,10,F,,
87,Spanish A 2,22,10,F,,
88,Spanish B,22,10,F,,
89,Spanish B 2,22,10,F,,
90,Story of Life,22,10,I,,
91,Studio Art,22,10,,IV,
92,US History and Lit: The 20th Century,22,10,,IIA & V,1
93,US History and Lit: The 20th Century 2,22,10,,IIA & V,
94,Video Production,22,10,,IV,
