,0,Max,Min,MS Category,HS Category,Double,,MS Category,HS Category,Double
0,6th Grade Art,22,10,C,,,,C,,
1,6thGradeOther,22,10,,,,,,,
2,7th-8th Grade Art,22,10,C,,,,C,,
3,8th Grade Science,22,10,I,,,,I,,
4,Adaptive PE,22,10,E,VII,,,E,VII,
5,Advanced Algebra and Trigonometry,22,10,,IIC,,,,IIC,
6,Advanced Algebra and Trigonometry 2,22,10,,IIC,,,,IIC,
7,Advanced Spanish,22,10,,IIB,,,,IIB,
8,Advanced/In-Depth French,22,10,,IIB,,,,IIB,
9,African Studies,22,10,,IIA & V,1,,,IIA & V,1
10,African Studies 2,22,10,,IIA & V,2,,,IIA & V,2
11,Algebra A,22,10,K,,,,K,,
12,Algebra A 2,22,10,K,,,,K,,
13,Algebra B,22,10,K,,,,K,,
14,Algebra B 2,22,10,K,,,,K,,
15,American Studies/Global Perspective,22,10,,IIA & V,1,,,IIA & V,1
16,American Studies/Global Perspective 2,22,10,,IIA & V,2,,,IIA & V,2
17,Anatomy and Physiology,22,10,,VI,,,,VI,
18,Asia Studies,22,10,,V,,,,V,
19,Banned Books,22,10,G,,,,G,,
20,Beginning Algebra and Geometry,22,10,,IIC,,,,IIC,
21,Beginning Algebra and Geometry 2,22,10,,IIC,,,,IIC,
22,Beginning Algebra and Trigonometry,22,10,,IIC,,,,IIC,
23,Celtic Band,22,10,D,IV,,,D,IV,
24,Chemistry,22,10,,VI,,,,VI,
25,Choir,22,10,D,IV,,,G & H,,1
26,Community Service Class,22,10,,IB & V,,,G & H,,2
27,Computer Literacy,22,10,L,,,,D,IV,
28,Constitutional Law/Government,22,10,,V,,,,IB & V,
29,Dark Fiction,22,10,,IIA,,,L,,
30,Drawing and Painting,22,10,,IV,,,,V,
31,Ecology,22,10,,VI,,,,IIA,
32,Economics,22,10,,V,,,,IV,
33,Empty,22,10,,,,,,VI,
34,English Seminar,22,10,,IIA,,,,V,
35,Evolutionary Biology,22,10,,VI,,,,,
36,Facing History,22,10,,IIA & V,1,,,IIA,
37,Facing History 2,22,10,,IIA & V,2,,,VI,
38,Fiber Tech,22,10,I,,,,,IIA & V,1
39,French A,22,10,F,,,,,IIA & V,2
40,French B,22,10,F,,,,I,,
41,Geography and Borders,22,10,H,,,,F,,
42,Geology,22,10,,VI,,,F,,
43,Global History of Commodities,22,10,H,,,,H,,
44,HS English (TBA),22,10,,IIA,,,,VI,
45,HS English (TBA) 2,22,10,,IIA,,,H,,
46,HS Health,22,10,,VII,,,,VII,
47,HS PE,22,10,,VII,,,,VII,
48,HS PE 2,22,10,,VII,,,,VII,
49,HS PE 3,22,10,,VII,,,,VII,
50,Health,22,10,,,,,,IIA,
51,I Know Some Things,22,10,,IIA,,,,IIA,
52,In-Depth Spanish,22,10,,IIB,,,,IIB,
53,Intermediate Algebra and Geometry,22,10,,IIC,,,,IIC,
54,Intermediate Algebra and Geometry 2,22,10,,IIC,,,,IIC,
55,Intermediate French,22,10,F,IIB,,,F,IIB,
56,Intermediate Spanish,22,10,F,IIB,,,F,IIB,
57,Intro to Physics and Chemistry,22,10,I,VI,,,I,,
58,Latin American Studies,22,10,,IIA & V,1,,I,VI,
59,Latin American Studies 2,22,10,,IIA & V,2,,,IIA & V,1
60,MS Chemistry,22,10,I,,,,,IIA & V,2
61,MS English and Social Studies (TBA),22,10,G & H,,1,,,,
62,MS English and Social Studies (TBA),22,10,G & H,,2,,I,,
63,MS Health,22,10,J,,,,G & H,,1
64,MS PE,22,10,E,,,,G & H,,2
65,MS Science (TBA),22,10,I,,,,J,,
66,MS Social Studies 2,22,10,H,,,,E,,
67,MS/HS PE,22,10,E,VII,,,I,,
68,MS/HS PE 2,22,10,E,VII,,,H,,
69,MS/HS PE 3,22,10,E,VII,,,E,VII,
70,Molecular Biology,22,10,,VI,,,E,VII,
71,Music Design,22,10,D,IV,,,E,VII,
72,"Music, Myth, and Ritual",22,10,D,,,,,VI,
73,Other,22,10,Z,Z,,,D,IV,
74,Other 2,22,10,Z,Z,,,D,,
75,Other 3,22,10,Z,Z,,,Z,Z,
76,Other 4,22,10,Z,Z,,,Z,Z,
77,Other 5,22,10,Z,Z,,,Z,Z,
78,Other 6,22,10,Z,Z,,,Z,Z,
79,PE,22,10,Z,Z,,,Z,Z,
80,Poet's Society,22,10,G,,,,Z,Z,
81,Portfolio Art,22,10,,IV,,,Z,Z,
82,Portfolio Photo,22,10,,IV,,,G,,
83,Pre-Calculus,22,10,,IIC,,,,IV,
84,Probability and Statistics,22,10,,IIC,,,,IV,
85,Researchers (8th Grade SS),22,10,M,,,,,IIC,
86,Resource Room,22,10,Other,Other,,,,IIC,
87,Spanish A,22,10,F,,,,M,,
88,Spanish A 2,22,10,F,,,,Other,Other,
89,Spanish B,22,10,F,,,,F,,
90,Spanish B 2,22,10,F,,,,F,,
91,Story of Life,22,10,I,,,,F,,
92,Studio Art,22,10,,IV,,,F,,
93,US History and Lit: The 20th Century,22,10,,IIA & V,1,,I,,
94,US History and Lit: The 20th Century 2,22,10,,IIA & V,2,,,,
95,Video Production,22,10,,IV,,,,,
,,,,,,,,,IV,
,,,,,,,,,IIA & V,1
,,,,,,,,,IIA & V,2
,,,,,,,,,IV,
