0,Other,G,VII,J,M,V,C,Z,IIC,L,IIA,F,VI,D,IIB,E,IV,K,I,H,IB
6th Grade Art,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6thGradeOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7th-8th Grade Art,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8th Grade Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Adaptive PE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Advanced Algebra and Trigonometry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Advanced Algebra and Trigonometry 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Advanced Spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Advanced/In-Depth French,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
African Studies,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
African Studies 2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Algebra A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Algebra A 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Algebra B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Algebra B 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
American Studies/Global Perspective,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
American Studies/Global Perspective 2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Anatomy and Physiology,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Asia Studies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Banned Books,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Beginning Algebra and Geometry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Beginning Algebra and Geometry 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Beginning Algebra and Trigonometry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Celtic Band,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0
Chemistry,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Choir,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0
Community Service Class,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Computer Literacy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Constitutional Law/Government,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dark Fiction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Drawing and Painting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Ecology,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Economics,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
English Seminar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Evolutionary Biology,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Facing History,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Facing History 2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Fiber Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
French A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
French B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Geography and Borders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Geology,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Global History of Commodities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
HS English (TBA),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
HS English (TBA) 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
HS Health,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HS PE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HS PE 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HS PE 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
I Know Some Things,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
In-Depth Spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Intermediate Algebra and Geometry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Intermediate Algebra and Geometry 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Intermediate French,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
Intermediate Spanish,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
Intro to Physics and Chemistry,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0
Latin American Studies,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Latin American Studies 2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
MS Chemistry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
MS English and Social Studies (TBA),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
MS English and Social Studies (TBA),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
MS Health,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
MS PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
MS Science (TBA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
MS Social Studies 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
MS/HS PE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
MS/HS PE 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
MS/HS PE 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Molecular Biology,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Music Design,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0
"Music, Myth, and Ritual",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Other,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Other 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Other 3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Other 4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Other 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Other 6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Poet's Society,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Portfolio Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Portfolio Photo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Pre-Calculus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
