,P17th-8th Grade Art,P1Advanced Algebra & Trigonometry,P1Constitutional Law/Government,P1Evolutionary Biology,P1Facing History,P1French B,P1HS English (TBA),P1HS PE,P1MS Health,P1Middle School Social Studies with Dan,P1Other,P1Portfolio Photo,P1Pre-Calculus,P1Spanish A,P28th Grade Science,P2Algebra A,P2Asia Studies,P2Drawing & Painting,P2Facing History,P2Geology,P2HS English (TBA),P2HS PE,P2Intermediate Algebra & Geometry,P2Intermediate French,P2Intermediate Spanish,P2MS Social Studies with Dan,P2Other,P2Spanish B,P30,P3Advanced Spanish,P3Algebra B,P3American Studies/Global Perspective,P3Banned Books,P3Beginning Algebra and Geometry,P3Chemistry,P3HS Health,P3I Know Some Things,P3Intermediate Spanish,P3MS/HS PE,P3Music Design,P3Other,P3Story of Life,P3Studio Art,P40,P4Advanced/In-Depth French,P4Algebra A,P4American Studies/Global Perspective,P4Beginning Algebra and Trigonometry,P4Community Service Class,P4Economics,P4Intermediate Algebra and Geometry,P4Intro to Physics & Chemistry,P4MS Science (TBA),P4MS/HS PE,"P4Music, Myth, and Ritual",P4Other,P4Portfolio Art,P4Researchers (8th Grade SS),P70,P7Adaptive PE,P7Advanced Algebra & Trigonometry,P7African Studies,P7Anatomy & Physiology,P7Celtic Band,P7English Seminar,P7Latin American Studies,P7MS English & Social Studies (TBA),P7MS/HS PE,P7Molecular Biology,P7Other,P7Poet's Society,P7Spanish A,P7Spanish B,P7US History & Lit: The 20th Century,P7Video Production,Period 8 (Second Choice)_0,Period 8 (Second Choice)_African Studies,Period 8 (Second Choice)_Algebra B,Period 8 (Second Choice)_Choir,Period 8 (Second Choice)_Computer Literacy,Period 8 (Second Choice)_Dark Fiction,Period 8 (Second Choice)_Ecology,Period 8 (Second Choice)_Fiber Tech,Period 8 (Second Choice)_French A,Period 8 (Second Choice)_HS PE,Period 8 (Second Choice)_In-Depth Spanish,Period 8 (Second Choice)_Latin American Studies,Period 8 (Second Choice)_MS Chemistry,Period 8 (Second Choice)_MS English & Social Studies,Period 8 (Second Choice)_MS PE,Period 8 (Second Choice)_Other,Period 8 (Second Choice)_Probability & Statistics,Period 8 (Second Choice)_US History & Lit: The 20th Century
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
