,Course Name,Teacher Name
0,6th Grade Art,
1,7th-8th Grade Art,
2,8th Grade Science,
3,Adaptive PE,
4,Advanced Algebra and Trigonometry,
5,Advanced Algebra and Trigonometry V2,
6,Advanced Spanish,
7,Advanced/In-Depth French,
8,African Studies,
9,Algebra A,
10,Algebra A V2,
11,Algebra B,
12,Algebra B V2,
13,American Studies/Global Perspective,
14,Animal Bio,
15,Asia Studies,
16,Banned Books,
17,Beginning Algebra and Geometry,
18,Beginning Algebra and Geometry V2,
19,Celtic Band,
20,Chemistry,
21,Childhood in Conflict,
22,Choir,
23,Community Service Class,
24,Computer Literacy,
25,Constitutional Law/Government,
26,Dark Fiction,
27,Drawing and Painting,
28,Ecology,
29,Economics,
30,Empty,
31,English Seminar,
32,Evolutionary Biology,
33,Facing History,
34,Fiber Tech,
35,French A,
36,French B,
37,Geography and Borders,
38,Geology,
39,Global History of Commodities,
40,HS Health,
41,HS PE,
42,HS PE V2,
43,HS PE V3,
44,I Know Some Things,
45,Immigration and Migration,
46,In-Depth Spanish,
47,Inquiry and Tools,
48,Inquiry and Tools V2,
49,Intermediate Algebra and Geometry,
50,Intermediate Algebra and Geometry V2,
51,Intermediate French,
52,Intermediate Spanish,
53,Intro to Engineering,
54,Intro to Physics and Chemistry,
55,Latin American Studies,
56,Literature of Civil Rights Movement,
57,MS Chemistry,
58,MS Health,
59,MS PE,
60,MS/HS PE,
61,MS/HS PE V2,
62,MS/HS PE V3,
63,Music Design,
64,"Music, Myth, and Ritual",
65,Other,
66,Other V2,
67,Other V3,
68,Other V4,
69,Other V5,
70,Other V6,
71,People and Literature,
72,People and Literature V2,
73,Physics,
74,Poet's Society,
75,Portfolio Art,
76,Portfolio Photo,
77,Pre-Calculus,
78,Probability and Statistics,
79,Researchers,
80,Resource Room,
81,Spanish A,
82,Spanish A V2,
83,Spanish B,
84,Spanish B V2,
85,Story of Life,
86,Studio Art,
87,US History and Lit: The 20th Century,
88,Video Production,
